preprocessed_text,predicted_label
@fpsnote hello fake csgo pro,0
Wtf think live GTA,0
congratulation UC CS take 3 2 NKU runback night win bracket amazing play member team,0
Awesome Gamer,3
believe @realDonaldTrump lie,0
@overwatchleague @PlayOverwatch @CocaCola @cocacolaco slightly disappointed find coke cup OW watchpoint panelist want big class coke drink cast overwatch overwatchleague,0
congratulation @ninamanning78 publication day hope fabulous day book fly ðŸ˜ŠðŸ“šðŸŽ‰,0
ðÿ‘ @YouTube PUBG MOBILE BEST TIKTOK VIDEOS | funny moment | ELECTRO ice ZARD youtube.com/watch?v=V6Erpxâ€ ¦,0
@formula yo Alix formula big fan mean lot vid fortnite username fresh.ed1ts pls add,0
Thatâ€ ™ s kap AF mf blank,0
@ups 2 bad n place wen up cust rep decide 2oss $ 1600 nov 2019 Wen ur rep will 2 oid disaster ur Rand integrity s call n2 question trust mean lot 2 mo ths disability benefit,0
â€˜call Dutyâ€ ™ Wins Amendment victory Use Humvees alphatimenews.com/call-of-duty-wâ€ ¦ https://t.co/bmsymgueen,0
14 yoâ€ ™ s shit fortnite catch irl swear Iâ€ ™ ll rock yo shit,0
reason QT superior ðŸ˜Œ,0
Yo new event PUBG weird,0
stop act like educate stop bs know devs dx12 ultimate ff lead people bs pic.twitter.com/hKMnlLiTzm,0
live stream bit PS4 act weird sorry ps4 PlayStore ps4share battlefield4 game videogame twitchtv twitchgam twitchgaming,0
ryan make feel like baby love love wanna feed burrito bowl hold hand suck play overwatch cute culver date w AAAAHHH m fucking LOVE,0
army mythic key carry fuck straight dog depress,0
u crazy gloating u r fan n responsible journo sorry expect u change drummer change donâ€ ™ t u write book u worshipper,0
@speakerpelosi interesting ðŸ§,0
Xbox Series S leak reveal $ 299 price dlvr.it/rg9pdy,0
guy good content   creator know different   unique watch,0
ban Battlefield 4 player Gariblak occur DETAILS bf4db.com/player/ban/196â€ ¦,0
iâ€ ™ m go to @imjustbait funniest meme page ðŸ˜Œ,0
zombie call 2020 be not fuck,0
mean real life crack epidemic,0
read mistake beat FIFA,0
far good stream raid hover 12 15 viewer hour gain boat load follow love wubblenation fortnite savetheworld pic.twitter.com/ontb94ufaj,0
bruuuhhh wtf wrong gay ass pc player,0
stupid little fucking baby child   grow adult copy paste microsoft Paint squeegee ed disproportionately lack dancing skill public wedding,0
miss CANT BLAME school kid,0
able stream today lot problem Xbox let stream Fifa 21 itâ€ ™ s annoying Iâ€ ™ ll try find way arround able stream iâ€ ™ ll update iâ€ ™ ll live ðŸ˜¢,0
